Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,2,140,50,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 13,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,1,2,125,28,1,WOODBEND,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 14,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,3,130,35,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 31,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,130,16,1,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 32,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,0,1,2,1,CRAWFORD PLAINS,140000.0,30,53.44341912235957,-113.4026104,Gateway Stake 33,1
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,2,200,23,1,FOREST HEIGHTS,837500.0,90,53.55056740256592,-113.4548124,Bonnie Doon Stake 29,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,40,26,2,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 30,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,0,166,20,1,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 9,3
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,2,210,20,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 34,1
Bearspaw Chapel,Rutherford Ward,Riverbend Stake,2,2,205,21,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 15,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,0,0,9,1,CLAREVIEW,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 31,2
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,4,2,173,17,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 35,1
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,0,150,40,1,SOUTHGATE,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 32,2
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,2,155,22,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 36,0
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,2,200,35,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 37,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,0,154,28,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 38,1
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,0,128,12,1,SOUTHGATE,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 33,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,2,230,42,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 34,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,131,20,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 39,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,1,2,100,20,1,ELLERSLIE,797500.0,30,53.43159314034627,-113.44636,Gateway Stake 40,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,3,150,30,1,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 16,0
