Location,Ward/Branch,Stake,# of Adult Volunteers,# of Youth Volunteers,Doors in Route,Donation Bags Collected,Routes Completed,Neighbourhood,Assessed Value,Time Spent,Latitude,Longitude,New Route Number/Name,Cluster
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,2,110,30,1,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 68,2
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,0,174,17,1,RUTHERFORD,1154500.0,90,53.42045712828527,-113.5399461,Riverbend Stake 30,0
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,0,212,16,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 69,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,0,150,20,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 83,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,3,195,16,1,TERWILLEGAR PARK,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 31,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,3,0,100,27,2,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 84,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,2,100,9,1,RUTHERFORD,1154500.0,30,53.42045712828527,-113.5399461,Riverbend Stake 32,0
Bonnie Doon Stake Centre,Southgate Ward,Bonnie Doon Stake,2,0,147,23,1,SOUTHGATE,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 70,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,2,6,7,1,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 71,2
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,246,30,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 85,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,3,131,25,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 86,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,2,172,16,1,RUTHERFORD,1154500.0,30,53.42045712828527,-113.5399461,Riverbend Stake 33,0
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,4,0,301,19,2,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 18,3
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,0,236,40,1,ELLERSLIE,797500.0,90,53.43159314034627,-113.44636,Gateway Stake 87,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,4,19,22,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 88,1
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,4,120,16,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 34,0
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,0,300,56,3,SOUTHGATE,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 72,2
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,5,2,27,31,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 89,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,1,3,236,32,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 90,1
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,3,0,90,30,1,BLACKMUD CREEK,503500.0,30,53.42374423,-113.5051636,Gateway Stake 91,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,4,3,145,21,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 35,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,6,3,171,50,1,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 36,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,1,1,240,31,1,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 19,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,1,223,100,1,TERWILLEGAR PARK,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 37,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,2,160,19,1,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 73,2
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,4,186,21,1,BLACKMUD CREEK,503500.0,120,53.42374423,-113.5051636,Gateway Stake 92,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,200,30,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 93,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,2,500,58,3,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 38,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,1,126,9,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 74,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,2,147,36,2,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 94,1
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,2,0,137,28,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 95,1
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,4,158,35,1,SOUTHGATE,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 75,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,0,19,19,2,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 76,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,0,175,30,1,SILVER BERRY,162000.0,30,53.45921603129749,-113.3818037,Gateway Stake 96,1
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,2,197,45,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 39,0
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,1,3,96,16,1,GRIESBACH,6666500.0,30,53.61346820073056,-113.5157507,Edmonton North Stake 20,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,5,0,326,53,2,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 40,0
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,0,139,19,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 41,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,1,300,27,3,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 77,2
Gateway Stake Centre ,Blackmud Creek Ward,Gateway Stake,2,6,300,50,2,BLACKMUD CREEK,503500.0,120,53.42374423,-113.5051636,Gateway Stake 97,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,1,0,50,10,1,FOREST HEIGHTS,837500.0,60,53.55056740256592,-113.4548124,Bonnie Doon Stake 78,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,2,0,45,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 98,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,3,0,350,45,2,RUTHERFORD,1154500.0,90,53.42045712828527,-113.5399461,Riverbend Stake 42,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,4,1,203,30,1,SILVER BERRY,162000.0,90,53.45921603129749,-113.3818037,Gateway Stake 99,1
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,31,39,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 79,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,50,40,1,LONDONDERRY,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 80,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,1,176,20,2,ELLERSLIE,797500.0,90,53.43159314034627,-113.44636,Gateway Stake 100,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,1,354,59,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 43,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,100,12,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 101,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,1,2,185,25,2,CONNORS HILL,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 81,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,0,30,40,1,LONDONDERRY,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 82,2
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,0,174,25,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 102,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,1,5,66,12,2,RABBIT HILL,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 44,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,3,8,400,41,3,CRAWFORD PLAINS,140000.0,120,53.44341912235957,-113.4026104,Gateway Stake 103,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,0,160,32,1,GRIESBACH,6666500.0,120,53.61346820073056,-113.5157507,Edmonton North Stake 21,3
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,209,80,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 45,0
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,1,0,138,4,1,RIO VISTA,8015783.871,30,53.44895453413155,-113.4371288,Gateway Stake 104,1
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,0,2,0,30,1,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 83,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,0,242,46,1,CONNORS HILL,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 84,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,0,150,25,1,CONNORS HILL,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 85,2
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,9,20,26,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 86,2
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,4,0,346,73,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 46,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,3,0,135,14,1,NAMAO,6666500.0,90,53.61346820073055,-113.5157507,Edmonton North Stake 22,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,4,0,250,54,1,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 47,0
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,1,2,166,24,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 105,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,1,1,200,58,3,ELLERSLIE,797500.0,30,53.43159314034627,-113.44636,Gateway Stake 106,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,3,2,207,36,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 107,1
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,4,4,100,25,1,WOODBEND,703525.0,30,53.44964276918846,-113.5384964,Riverbend Stake 48,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,4,1,60,14,1,WOODBEND,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 49,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,4,250,56,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 50,0
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,1,1,100,30,2,ELLERSLIE,797500.0,90,53.43159314034627,-113.44636,Gateway Stake 108,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,2,4,264,35,1,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 109,1
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,0,65,70,2,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 87,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,0,49,73,3,CLAREVIEW,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 88,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,2,205,10,2,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 110,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,0,160,42,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 51,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,1,106,23,1,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 23,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,3,0,195,29,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 52,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,1,140,20,1,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 111,1
Bearspaw Chapel,Rabbit Hill Ward,Riverbend Stake,2,4,127,58,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 53,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,175,25,2,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 54,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,0,200,22,1,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 24,3
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,4,9,171,26,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 55,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,4,245,25,2,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 112,1
Bearspaw Chapel,Southgate Ward,Bonnie Doon Stake,2,2,150,46,2,SOUTHGATE,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 89,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,0,150,16,1,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 25,3
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,2,4,136,20,1,RUTHERFORD,1154500.0,30,53.42045712828527,-113.5399461,Riverbend Stake 56,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,3,2,164,30,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 57,0
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,4,300,75,3,ELLERSLIE,797500.0,90,53.43159314034627,-113.44636,Gateway Stake 113,1
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,1,0,225,80,2,CLAREVIEW,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 90,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,3,230,42,2,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 114,1
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,2,0,55,3,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 115,1
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,1,1,312,150,2,RIO VISTA,8015783.871,90,53.44895453413155,-113.4371288,Gateway Stake 116,1
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,2,2,159,15,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 117,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,4,2,428,75,2,RABBIT HILL,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 58,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,2,100,12,1,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 59,0
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,1,5,239,32,2,ELLERSLIE,797500.0,30,53.43159314034627,-113.44636,Gateway Stake 118,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,400,50,3,CRAWFORD PLAINS,140000.0,120,53.44341912235957,-113.4026104,Gateway Stake 119,1
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,2,90,17,2,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 91,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,0,300,24,2,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 26,3
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,1,260,100,1,BLACKMUD CREEK,503500.0,120,53.42374423,-113.5051636,Gateway Stake 120,0
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,2,3,16,19,2,LONDONDERRY,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 92,2
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,2,125,21,2,CLAREVIEW,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 93,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,1,1,184,45,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 60,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,1,3,600,118,2,WOODBEND,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 61,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,2,134,30,1,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 121,1
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,0,270,50,2,RIO VISTA,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 122,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,2,500,65,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 62,0
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,1,0,138,6,1,CRAWFORD PLAINS,140000.0,90,53.44341912235957,-113.4026104,Gateway Stake 123,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,2,119,14,1,CRAWFORD PLAINS,140000.0,30,53.44341912235957,-113.4026104,Gateway Stake 124,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,5,0,326,53,2,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 63,0
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,2,70,7,2,NAMAO,6666500.0,60,53.61346820073055,-113.5157507,Edmonton North Stake 27,3
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,4,0,278,35,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 125,1
Riverbend Stake Centre,Rutherford Ward,Riverbend Stake,3,0,329,15,1,RUTHERFORD,1154500.0,60,53.42045712828527,-113.5399461,Riverbend Stake 64,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,1,1,152,30,1,LEE RIDGE,28618500.0,60,53.47232073,-113.4502878,Gateway Stake 126,1
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,210,25,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 65,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,1,18,25,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 94,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,3,205,25,1,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 127,1
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,0,168,25,1,SILVER BERRY,162000.0,30,53.45921603129749,-113.3818037,Gateway Stake 128,1
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,5,216,46,1,ELLERSLIE,797500.0,90,53.43159314034627,-113.44636,Gateway Stake 129,1
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,1,4,100,18,1,NAMAO,6666500.0,120,53.61346820073055,-113.5157507,Edmonton North Stake 28,3
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,4,200,49,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 66,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,3,0,200,30,1,FOREST HEIGHTS,837500.0,120,53.55056740256592,-113.4548124,Bonnie Doon Stake 95,2
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,2,2,410,45,3,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 130,1
Gateway Stake Centre ,Lee Ridge Ward,Gateway Stake,1,2,146,25,1,LEE RIDGE,28618500.0,90,53.47232073,-113.4502878,Gateway Stake 131,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,1,2,262,40,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 67,0
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,3,241,23,2,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 96,2
Edmonton North Stake Centre,Namao Ward,Edmonton North Stake,2,2,498,55,1,NAMAO,6666500.0,120,53.61346820073055,-113.5157507,Edmonton North Stake 29,3
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,4,0,167,30,1,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 97,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,1,25,12,1,CONNORS HILL,837500.0,90,53.55056740256591,-113.4548124,Bonnie Doon Stake 98,2
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,3,240,35,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 132,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,0,150,34,1,TERWILLEGAR PARK,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 68,0
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,1,500,62,2,ELLERSLIE,797500.0,60,53.43159314034627,-113.44636,Gateway Stake 133,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,2,3,209,15,2,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 99,2
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,4,312,60,2,TERWILLEGAR PARK,703525.0,120,53.44964276918846,-113.5384964,Riverbend Stake 69,0
Gateway Stake Centre ,Rio Vista Ward,Gateway Stake,2,1,149,25,1,RIO VISTA,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 134,1
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,4,0,167,25,1,CONNORS HILL,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 100,2
Bonnie Doon Stake Centre,Connors Hill Ward,Bonnie Doon Stake,1,0,522,80,2,CONNORS HILL,837500.0,120,53.55056740256591,-113.4548124,Bonnie Doon Stake 101,2
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,3,0,800,66,3,GRIESBACH,6666500.0,120,53.61346820073056,-113.5157507,Edmonton North Stake 30,3
Gateway Stake Centre ,Beaumont Ward,Gateway Stake,1,0,115,7,1,BEAUMONT,8015783.871,60,53.44895453413155,-113.4371288,Gateway Stake 135,1
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,4,250,47,1,WOODBEND,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 70,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,282,54,3,RABBIT HILL,703525.0,60,53.44964276918846,-113.5384964,Riverbend Stake 71,0
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,180,42,1,GREENFIELD,295500.0,90,53.476048825243744,-113.5371848,Riverbend Stake 72,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,3,4,377,71,2,BLACKMUD CREEK,503500.0,90,53.42374423,-113.5051636,Gateway Stake 136,0
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,2,2,101,19,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 73,0
Londonberry Chapel,Clareview Ward,Bonnie Doon Stake,2,1,0,5,1,CLAREVIEW,837500.0,30,53.55056740256591,-113.4548124,Bonnie Doon Stake 102,2
Gateway Stake Centre ,Ellerslie Ward,Gateway Stake,2,0,140,17,1,ELLERSLIE,797500.0,30,53.43159314034627,-113.44636,Gateway Stake 137,1
Edmonton North Stake Centre,Griesbach Ward,Edmonton North Stake,2,5,142,20,1,GRIESBACH,6666500.0,60,53.61346820073056,-113.5157507,Edmonton North Stake 31,3
Londonberry Chapel,Londonderry Ward,Bonnie Doon Stake,1,1,8,10,1,LONDONDERRY,837500.0,60,53.55056740256591,-113.4548124,Bonnie Doon Stake 103,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,3,211,37,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 74,0
Bearspaw Chapel,Blackmud Creek Ward,Gateway Stake,2,3,200,25,1,BLACKMUD CREEK,503500.0,60,53.42374423,-113.5051636,Gateway Stake 138,0
Bonnie Doon Stake Centre,Forest Heights Ward,Bonnie Doon Stake,2,2,225,20,1,FOREST HEIGHTS,837500.0,30,53.55056740256592,-113.4548124,Bonnie Doon Stake 104,2
Riverbend Stake Centre,Greenfield Ward,Riverbend Stake,2,0,500,38,1,GREENFIELD,295500.0,60,53.476048825243744,-113.5371848,Riverbend Stake 75,0
Riverbend Stake Centre,Woodbend Ward,Riverbend Stake,2,4,300,50,1,WOODBEND,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 76,0
Bearspaw Chapel,Lee Ridge Ward,Gateway Stake,4,0,155,21,1,LEE RIDGE,28618500.0,30,53.47232073,-113.4502878,Gateway Stake 139,1
Gateway Stake Centre ,Crawford Plains Ward,Gateway Stake,2,0,171,12,1,CRAWFORD PLAINS,140000.0,60,53.44341912235957,-113.4026104,Gateway Stake 140,1
Riverbend Stake Centre,Terwillegar Park Ward,Riverbend Stake,3,1,192,37,1,TERWILLEGAR PARK,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 77,0
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,3,0,215,38,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 78,0
Gateway Stake Centre ,Silver Berry Ward,Gateway Stake,3,4,188,27,3,SILVER BERRY,162000.0,60,53.45921603129749,-113.3818037,Gateway Stake 141,1
Riverbend Stake Centre,Rabbit Hill Ward,Riverbend Stake,2,0,302,65,1,RABBIT HILL,703525.0,90,53.44964276918846,-113.5384964,Riverbend Stake 79,0
